Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,8.168180,8.168180,7.819110,8.168180,4.803504,939646
2000-01-05,8.272900,8.482340,8.168180,8.238000,4.844562,1927325
2000-01-06,8.238000,8.587060,8.238000,8.412530,4.947199,3596990
2000-01-07,8.866320,8.971040,8.656870,8.971040,5.275645,7289366
2000-01-10,9.494640,9.494640,9.075750,9.250290,5.439865,5746988
2000-01-11,8.621960,8.831410,8.621960,8.621960,5.070360,11287550
2000-01-12,8.552160,8.587060,8.168180,8.517250,5.008783,3096930
2000-01-13,8.552160,8.726690,8.517250,8.517250,5.008783,2926455
2000-01-14,8.587060,8.796500,8.587060,8.796500,5.173002,2296218
2000-01-17,8.621960,8.971040,8.587060,8.831410,5.193533,18598121
2000-01-18,8.866320,9.285200,8.866320,8.971040,5.275645,10785706
2000-01-19,9.005940,9.285200,9.005940,9.250290,5.439865,8953931
2000-01-20,9.424820,9.564450,8.936130,8.936130,5.255115,8707699
2000-01-21,9.075750,9.215380,8.552160,8.552160,5.029313,4945146
2000-01-24,8.621960,8.726690,8.552160,8.656870,5.090889,3467934
2000-01-25,8.726690,8.901220,8.656870,8.726690,5.131949,3888188
2000-01-26,8.936130,9.215380,8.796500,9.005940,5.296170,4768025
2000-01-27,9.075750,9.424820,9.005940,9.285200,5.460394,13482559
2000-01-28,9.424820,9.564450,8.971040,9.005940,5.296170,7506500
2000-01-31,9.529540,9.843700,9.355010,9.634270,5.665674,15164688
2000-02-01,9.773890,9.773890,9.355010,9.424820,5.542502,7185199
2000-02-02,9.424820,9.424820,9.424820,9.424820,5.542502,0
2000-02-03,9.424820,9.424820,9.424820,9.424820,5.542502,0
2000-02-04,9.424820,9.424820,9.424820,9.424820,5.542502,0
2000-02-07,9.424820,9.424820,9.424820,9.424820,5.542502,0
2000-02-08,9.424820,9.424820,9.424820,9.424820,5.542502,0
2000-02-09,9.494640,9.564450,9.145570,9.215380,5.419335,6157834
2000-02-10,9.215380,9.843700,9.215380,9.843700,5.788835,10018496
2000-02-11,10.262600,10.262600,9.843700,9.913520,5.829895,14320601
2000-02-14,10.123000,10.541800,10.018200,10.541800,6.199370,14922514
2000-02-15,10.681500,10.751300,9.843700,9.948430,5.850424,8710309
2000-02-16,9.948430,10.192800,9.948430,10.053200,5.912037,5386113
2000-02-17,10.192800,10.367300,10.157900,10.227700,6.014656,6066450
2000-02-18,10.367300,10.472000,9.773890,9.773890,5.747782,7652869
2000-02-21,10.402200,10.681500,10.192800,10.262600,6.035180,11321592
2000-02-22,10.402200,10.402200,9.564450,9.634270,5.665674,5784856
2000-02-23,9.599360,9.738980,9.110660,9.110660,5.357752,4429157
2000-02-24,9.180480,9.250290,8.726690,8.726690,5.131949,4242335
2000-02-25,8.656870,8.936130,8.587060,8.587060,5.049836,2697074
2000-02-28,8.587060,8.587060,8.587060,8.587060,5.049836,0
2000-02-29,8.726690,8.936130,8.587060,8.587060,5.049836,1673100
2000-03-01,8.901220,8.901220,8.726690,8.866320,5.214061,1621746
2000-03-02,8.936130,8.936130,8.587060,8.587060,5.049836,1929959
2000-03-03,8.587060,8.796500,8.587060,8.587060,5.049836,1434337
2000-03-06,8.377620,8.517250,8.203090,8.203090,4.824033,2257443
2000-03-07,8.238000,8.447430,8.238000,8.377620,4.926669,2393281
2000-03-08,8.307800,8.517250,8.272900,8.307800,4.885611,1632912
2000-03-09,8.377620,8.621960,8.377620,8.447430,4.967723,1823134
2000-03-10,8.517250,8.587060,8.238000,8.238000,4.844562,2667308
2000-03-13,8.238000,8.272900,7.854020,7.854020,4.618753,7499442
2000-03-14,8.098370,8.377620,8.063460,8.377620,4.926669,1346048
2000-03-15,8.587060,8.936130,8.377620,8.377620,4.926669,7687898
2000-03-16,8.098370,8.866320,8.098370,8.866320,5.214061,6634820
2000-03-17,8.796500,8.831410,8.517250,8.552160,5.029313,2402338
2000-03-20,8.272900,9.145570,8.272900,8.656870,5.090889,8149333
2000-03-21,8.656870,9.215380,8.587060,9.215380,5.419335,5613623
2000-03-22,8.901220,9.215380,8.901220,8.901220,5.234586,3110645
2000-03-23,8.726690,9.424820,8.726690,9.250290,5.439865,4638214
2000-03-24,9.285200,9.285200,9.145570,9.215380,5.419335,3213274
2000-03-27,9.215380,9.529540,8.936130,9.005940,5.296170,2242961
2000-03-28,9.005940,9.215380,9.005940,9.145570,5.378282,2446749
