,掛牌日期,幣別,現金買入,現金賣出,即期買入,即期賣出
0,2020/04/30,美金 (USD),29.34,30.01,29.69,29.79
1,2020/04/29,美金 (USD),29.51,30.18,29.86,29.96
2,2020/04/28,美金 (USD),29.585,30.255,29.935,30.035
3,2020/04/27,美金 (USD),29.61,30.28,29.96,30.06
4,2020/04/24,美金 (USD),29.64,30.31,29.99,30.09
5,2020/04/23,美金 (USD),29.67,30.34,30.02,30.12
6,2020/04/22,美金 (USD),29.655,30.325,30.005,30.105
7,2020/04/21,美金 (USD),29.66,30.33,30.01,30.11
8,2020/04/20,美金 (USD),29.635,30.305,29.985,30.085
9,2020/04/17,美金 (USD),29.665,30.335,30.015,30.115
10,2020/04/16,美金 (USD),29.665,30.335,30.015,30.115
11,2020/04/15,美金 (USD),29.625,30.295,29.975,30.075
12,2020/04/14,美金 (USD),29.635,30.305,29.985,30.085
13,2020/04/13,美金 (USD),29.67,30.34,30.02,30.12
14,2020/04/10,美金 (USD),29.665,30.335,30.015,30.115
15,2020/04/09,美金 (USD),29.685,30.355,30.035,30.135
16,2020/04/08,美金 (USD),29.715,30.385,30.065,30.165
17,2020/04/07,美金 (USD),29.695,30.365,30.045,30.145
18,2020/04/06,美金 (USD),29.78,30.45,30.13,30.23
19,2020/04/01,美金 (USD),29.86,30.53,30.21,30.31
20,2020/03/31,美金 (USD),29.825,30.495,30.175,30.275
21,2020/03/30,美金 (USD),29.805,30.475,30.155,30.255
22,2020/03/27,美金 (USD),29.815,30.485,30.165,30.265
23,2020/03/26,美金 (USD),29.865,30.535,30.215,30.315
24,2020/03/25,美金 (USD),29.895,30.565,30.245,30.345
25,2020/03/24,美金 (USD),29.895,30.565,30.245,30.345
26,2020/03/23,美金 (USD),29.95,30.62,30.3,30.4
27,2020/03/20,美金 (USD),29.83,30.5,30.18,30.28
28,2020/03/19,美金 (USD),30.035,30.705,30.385,30.485
29,2020/03/18,美金 (USD),29.855,30.525,30.205,30.305
30,2020/03/17,美金 (USD),29.795,30.465,30.145,30.245
