Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.578790,2.578790,2.578790,2.578790,1.347261,4846680
2000-01-05,2.578790,2.599440,2.578790,2.599440,1.358049,14540040
2000-01-06,2.599440,2.599440,2.599440,2.599440,1.358049,9699161
2000-01-07,2.630370,2.630370,2.516910,2.599440,1.358049,14540040
2000-01-10,2.599440,2.599440,2.547870,2.599440,1.358049,24233400
2000-01-11,2.599440,2.599440,2.537560,2.537560,1.325721,14545841
2000-01-12,2.558170,2.578790,2.558170,2.578790,1.347261,17869776
2000-01-13,2.578790,2.754180,2.578790,2.754180,1.438892,348995763
2000-01-14,2.754180,2.785100,2.754180,2.785100,1.455046,77552680
2000-01-17,2.764490,2.764490,2.754180,2.754180,1.438892,53316380
2000-01-18,2.743830,2.743830,2.609750,2.681950,1.401156,53316380
2000-01-19,2.516910,2.681950,2.516910,2.640710,1.379611,145414901
2000-01-20,2.578790,2.578790,2.537560,2.578790,1.347261,33929660
2000-01-21,2.578790,2.599440,2.475670,2.599440,1.358049,140582724
2000-01-24,2.589130,2.743830,2.589130,2.640710,1.379611,184191242
2000-01-25,2.640710,2.785100,2.640710,2.785100,1.455046,169651202
2000-01-26,2.826370,2.826370,2.620070,2.764490,1.444278,421704664
2000-01-27,2.723220,2.950150,2.723220,2.950150,1.541274,1135213688
2000-01-28,3.156460,3.156460,2.991420,3.156460,1.649059,945204110
2000-01-31,3.569070,3.589700,3.465920,3.589700,1.875401,819177
2000-02-01,3.672220,3.837270,3.630960,3.837270,2.004741,2159060
2000-02-02,3.837270,3.837270,3.837270,3.837270,2.004741,0
2000-02-03,3.837270,3.837270,3.837270,3.837270,2.004741,0
2000-02-04,3.837270,3.837270,3.837270,3.837270,2.004741,0
2000-02-07,3.837270,3.837270,3.837270,3.837270,2.004741,0
2000-02-08,3.837270,3.837270,3.837270,3.837270,2.004741,0
2000-02-09,4.105460,4.105460,3.713480,4.105460,2.144854,2239408
2000-02-10,4.332400,4.373660,4.126090,4.291140,2.241860,1720757
2000-02-11,4.270500,4.270500,4.002310,4.208610,2.198744,1783092
2000-02-14,3.981680,4.084830,3.961050,4.022940,2.101742,1185335
2000-02-15,4.064200,4.064200,3.754740,3.754740,1.961624,756173
2000-02-16,3.754740,3.878530,3.754740,3.796000,1.983180,354331
2000-02-17,3.796000,3.816630,3.548440,3.610330,1.886179,1381453
2000-02-18,3.610330,3.610330,3.527810,3.548440,1.853845,814330
2000-02-21,4.043570,4.043570,3.919790,4.043570,2.112520,2549629
2000-02-22,4.229240,4.291140,3.775370,3.857900,2.015519,1623861
2000-02-23,3.857900,3.857900,3.734110,3.816630,1.993958,140569
2000-02-24,3.672220,3.713480,3.569070,3.569070,1.864623,557428
2000-02-25,3.342120,3.569070,3.321500,3.507180,1.832289,581668307
2000-02-28,3.507180,3.507180,3.507180,3.507180,1.832289,0
2000-02-29,3.507180,3.507180,3.280230,3.280230,1.713722,256905943
2000-03-01,3.197730,3.445270,3.135840,3.383390,1.767615,398167376
2000-03-02,3.383390,3.383390,3.218350,3.300880,1.724510,116331921
2000-03-03,3.218350,3.300880,3.218350,3.300880,1.724510,92095621
2000-03-06,3.383390,3.383390,3.239000,3.280230,1.713722,237510522
2000-03-07,3.280230,3.300880,3.239000,3.239000,1.692181,164813223
2000-03-08,3.239000,3.383390,3.135840,3.300880,1.724510,247206783
2000-03-09,3.300880,3.527810,3.300880,3.527810,1.843067,479876426
2000-03-10,3.630960,3.713480,3.404040,3.651590,1.907735,392621684
2000-03-13,3.486550,3.548440,3.404040,3.404040,1.778404,106635661
2000-03-14,3.177070,3.239000,3.177070,3.239000,1.692181,290908115
2000-03-15,3.115200,3.197730,3.053300,3.094570,1.616725,256905943
2000-03-16,3.177070,3.197730,3.094570,3.197730,1.670620,33932561
2000-03-17,3.239000,3.239000,3.177070,3.177070,1.659826,24233400
2000-03-20,3.073950,3.073950,3.073950,3.073950,1.605953,4846680
2000-03-21,2.970800,3.280230,2.970800,3.280230,1.713722,87248941
2000-03-22,3.197730,3.280230,3.177070,3.259610,1.702948,96942301
2000-03-23,3.197730,3.342120,3.197730,3.321500,1.735283,310225224
2000-03-24,3.239000,3.300880,3.218350,3.218350,1.681393,111485241
2000-03-27,3.012030,3.115200,3.012030,3.032680,1.584391,261746822
2000-03-28,3.094570,3.115200,3.032680,3.094570,1.616725,164900237
2000-03-29,3.115200,3.156460,3.053300,3.156460,1.649059,146868035
2000-03-30,3.156460,3.197730,3.115200,3.197730,1.670620,252053463
2000-03-31,3.135840,3.197730,3.115200,3.156460,1.649059,174497882
2000-04-03,3.156460,3.156460,3.156460,3.156460,1.649059,0
2000-04-04,3.156460,3.156460,3.156460,3.156460,1.649059,0
2000-04-05,3.177070,3.177070,3.094570,3.094570,1.616725,96942301
2000-04-06,3.156460,3.300880,3.156460,3.280230,1.713722,450842753
2000-04-07,3.280230,3.507180,3.280230,3.445270,1.799945,858056686
2000-04-10,3.796000,3.816630,3.424660,3.569070,1.864623,605898806
2000-04-11,3.569070,3.630960,3.342120,3.362770,1.756843,460556417
2000-04-12,3.383390,3.445270,3.383390,3.404040,1.778404,247206783
2000-04-13,3.404040,3.424660,3.383390,3.404040,1.778404,121178601
2000-04-14,3.404040,3.404040,3.300880,3.300880,1.724510,145420702
2000-04-17,3.300880,3.465920,3.259610,3.465920,1.810733,198734182
2000-04-18,3.465920,3.548440,3.465920,3.465920,1.810733,271448
2000-04-19,3.404040,3.404040,3.259610,3.259610,1.702948,179344562
2000-04-20,3.259610,3.259610,3.156460,3.218350,1.681393,174982260
2000-04-21,3.197730,3.218350,3.156460,3.156460,1.649059,92240644
2000-04-24,3.156460,3.156460,3.156460,3.156460,1.649059,38776340
2000-04-25,3.218350,3.218350,3.218350,3.218350,1.681393,9694
2000-04-26,3.197730,3.197730,3.012030,3.012030,1.573603,24233400
2000-04-27,2.805760,3.053300,2.805760,3.032680,1.584391,121178601
2000-04-28,2.929530,3.135840,2.929530,3.135840,1.638286,198734182
2000-05-01,3.135830,3.135830,3.135830,3.135830,1.638281,0
2000-05-02,3.156460,3.177070,2.960450,3.135840,1.638286,121178601
2000-05-03,2.991420,3.094570,2.929530,3.094570,1.616725,150270283
2000-05-04,3.094570,3.094570,2.991420,3.094570,1.616725,1311054486
2000-05-05,3.094570,3.156460,3.032680,3.156460,1.649059,67989841
2000-05-08,3.094570,3.135840,3.094570,3.115200,1.627503,276289763
2000-05-09,3.115200,3.115200,3.115200,3.115200,1.627503,0
2000-05-10,2.991420,3.094570,2.991420,3.094570,1.616725,97035116
2000-05-11,3.094570,3.094570,2.991420,3.094570,1.616725,65353317
2000-05-12,3.073950,3.084260,3.073950,3.073950,1.605953,58267477
2000-05-15,3.032680,3.094570,3.032680,3.094570,1.616725,58168861
2000-05-16,3.094570,3.094570,3.094570,3.094570,1.616725,72717602
2000-05-17,3.094570,3.094570,3.032680,3.032680,1.584391,24233400
2000-05-18,3.094570,3.094570,3.094570,3.094570,1.616725,4846680
2000-05-19,3.084260,3.084260,3.084260,3.084260,1.611338,4849580
2000-05-22,3.053300,3.053300,3.032680,3.032680,1.584391,19386720
2000-05-23,3.032680,3.032680,2.867640,3.012030,1.573603,48469700
2000-05-24,3.012030,3.012030,2.991420,3.012030,1.573603,92095621
2000-05-25,2.991420,3.063610,2.816060,3.053300,1.595164,96942301
2000-05-26,2.991420,3.053300,2.991420,3.053300,1.595164,63012641
2000-05-29,3.053300,3.094570,3.053300,3.094570,1.616725,36351550
2000-05-30,3.094570,3.094570,3.094570,3.094570,1.616725,0
2000-05-31,2.898570,3.053300,2.898570,2.950150,1.541274,72706000
