,掛牌日期,幣別,現金買入,現金買入,即期買入,即期賣出
0,2020/04/30,人民幣 (CNY),4.117,4.279,4.189,4.239
1,2020/04/29,人民幣 (CNY),4.127,4.289,4.199,4.249
2,2020/04/28,人民幣 (CNY),4.13,4.292,4.202,4.252
3,2020/04/27,人民幣 (CNY),4.138,4.3,4.21,4.26
4,2020/04/24,人民幣 (CNY),4.138999999999999,4.301,4.211,4.261
5,2020/04/23,人民幣 (CNY),4.144,4.306,4.216,4.266
6,2020/04/22,人民幣 (CNY),4.14,4.302,4.212,4.262
7,2020/04/21,人民幣 (CNY),4.135,4.297,4.207,4.257
8,2020/04/20,人民幣 (CNY),4.145,4.3069999999999995,4.217,4.2669999999999995
9,2020/04/17,人民幣 (CNY),4.148,4.31,4.22,4.27
10,2020/04/16,人民幣 (CNY),4.148,4.31,4.22,4.27
11,2020/04/15,人民幣 (CNY),4.152,4.314,4.224,4.274
12,2020/04/14,人民幣 (CNY),4.16,4.322,4.232,4.282
13,2020/04/13,人民幣 (CNY),4.167,4.329,4.239,4.289
14,2020/04/10,人民幣 (CNY),4.171,4.333,4.243,4.293
15,2020/04/09,人民幣 (CNY),4.158,4.32,4.23,4.28
16,2020/04/08,人民幣 (CNY),4.159,4.321000000000001,4.231,4.281000000000001
17,2020/04/07,人民幣 (CNY),4.16,4.322,4.232,4.282
18,2020/04/06,人民幣 (CNY),4.151,4.313,4.223,4.273
19,2020/04/01,人民幣 (CNY),4.154,4.316,4.226,4.276
20,2020/03/31,人民幣 (CNY),4.158,4.32,4.23,4.28
21,2020/03/30,人民幣 (CNY),4.155,4.317,4.227,4.277
22,2020/03/27,人民幣 (CNY),4.1530000000000005,4.315,4.225,4.275
23,2020/03/26,人民幣 (CNY),4.154,4.316,4.226,4.276
24,2020/03/25,人民幣 (CNY),4.162,4.324,4.234,4.284
25,2020/03/24,人民幣 (CNY),4.172,4.334,4.244,4.294
26,2020/03/23,人民幣 (CNY),4.157,4.319,4.229,4.279
27,2020/03/20,人民幣 (CNY),4.172,4.334,4.244,4.294
28,2020/03/19,人民幣 (CNY),4.178999999999999,4.341,4.251,4.301
29,2020/03/18,人民幣 (CNY),4.196000000000001,4.3580000000000005,4.268,4.3180000000000005
30,2020/03/17,人民幣 (CNY),4.206,4.368,4.2780000000000005,4.328
31,2020/03/16,人民幣 (CNY),4.202,4.364,4.274,4.324
32,2020/03/13,人民幣 (CNY),4.209,4.371,4.281000000000001,4.331
33,2020/03/12,人民幣 (CNY),4.206,4.368,4.2780000000000005,4.328
34,2020/03/11,人民幣 (CNY),4.223,4.385,4.295,4.345
35,2020/03/10,人民幣 (CNY),4.22,4.382,4.292,4.342
36,2020/03/09,人民幣 (CNY),4.235,4.397,4.3069999999999995,4.357
37,2020/03/06,人民幣 (CNY),4.217,4.379,4.289,4.3389999999999995
38,2020/03/05,人民幣 (CNY),4.215,4.377,4.287,4.337
39,2020/03/04,人民幣 (CNY),4.229,4.391,4.301,4.351
40,2020/03/03,人民幣 (CNY),4.204,4.3660000000000005,4.276,4.3260000000000005
41,2020/03/02,人民幣 (CNY),4.224,4.386,4.296,4.346
42,2020/02/27,人民幣 (CNY),4.211,4.373,4.283,4.333
43,2020/02/26,人民幣 (CNY),4.22,4.382,4.292,4.342
44,2020/02/25,人民幣 (CNY),4.223,4.385,4.295,4.345
45,2020/02/24,人民幣 (CNY),4.225,4.387,4.297,4.3469999999999995
46,2020/02/21,人民幣 (CNY),4.2139999999999995,4.376,4.2860000000000005,4.336
47,2020/02/20,人民幣 (CNY),4.21,4.372,4.282,4.332
48,2020/02/19,人民幣 (CNY),4.205,4.367,4.277,4.327
49,2020/02/18,人民幣 (CNY),4.199,4.361000000000001,4.271,4.321000000000001
50,2020/02/17,人民幣 (CNY),4.2,4.362,4.272,4.322
51,2020/02/15,人民幣 (CNY),4.189,4.351,4.261,4.311
52,2020/02/14,人民幣 (CNY),4.198,4.36,4.27,4.32
53,2020/02/13,人民幣 (CNY),4.195,4.357,4.2669999999999995,4.317
54,2020/02/12,人民幣 (CNY),4.204,4.3660000000000005,4.276,4.3260000000000005
55,2020/02/11,人民幣 (CNY),4.206,4.368,4.2780000000000005,4.328
56,2020/02/10,人民幣 (CNY),4.204,4.3660000000000005,4.276,4.3260000000000005
57,2020/02/07,人民幣 (CNY),4.211,4.373,4.283,4.333
58,2020/02/06,人民幣 (CNY),4.211,4.373,4.283,4.333
59,2020/02/05,人民幣 (CNY),4.199,4.361000000000001,4.271,4.321000000000001
60,2020/02/04,人民幣 (CNY),4.212,4.374,4.284,4.334
61,2020/02/03,人民幣 (CNY),4.2139999999999995,4.376,4.2860000000000005,4.336
