,掛牌日期,幣別,現金買入,現金買入,即期買入,即期賣出
0,2020/04/30,英鎊 (GBP),35.89,38.01,36.89,37.31
1,2020/04/29,英鎊 (GBP),36.08,38.2,37.08,37.5
2,2020/04/28,英鎊 (GBP),36.19,38.31,37.19,37.61
3,2020/04/27,英鎊 (GBP),36.11,38.23,37.11,37.53
4,2020/04/24,英鎊 (GBP),35.8,37.92,36.8,37.22
5,2020/04/23,英鎊 (GBP),35.85,37.97,36.85,37.27
6,2020/04/22,英鎊 (GBP),35.87,37.99,36.87,37.29
7,2020/04/21,英鎊 (GBP),36.06,38.18,37.06,37.48
8,2020/04/20,英鎊 (GBP),36.24,38.36,37.24,37.66
9,2020/04/17,英鎊 (GBP),36.21,38.33,37.21,37.63
10,2020/04/16,英鎊 (GBP),36.35,38.47,37.35,37.77
11,2020/04/15,英鎊 (GBP),36.4,38.52,37.4,37.82
12,2020/04/14,英鎊 (GBP),36.52,38.64,37.52,37.94
13,2020/04/13,英鎊 (GBP),36.42,38.54,37.42,37.84
14,2020/04/10,英鎊 (GBP),36.31,38.43,37.31,37.73
15,2020/04/09,英鎊 (GBP),36.13,38.25,37.13,37.55
16,2020/04/08,英鎊 (GBP),35.89,38.01,36.89,37.31
17,2020/04/07,英鎊 (GBP),35.94,38.06,36.94,37.36
18,2020/04/06,英鎊 (GBP),35.96,38.08,36.96,37.38
19,2020/04/01,英鎊 (GBP),36.2,38.32,37.2,37.62
20,2020/03/31,英鎊 (GBP),36.04,38.16,37.04,37.46
21,2020/03/30,英鎊 (GBP),36.11,38.23,37.11,37.53
22,2020/03/27,英鎊 (GBP),35.66,37.78,36.66,37.08
23,2020/03/26,英鎊 (GBP),34.91,37.03,35.91,36.33
24,2020/03/25,英鎊 (GBP),34.65,36.77,35.65,36.07
25,2020/03/24,英鎊 (GBP),34.13,36.25,35.13,35.55
26,2020/03/23,英鎊 (GBP),34.1,36.22,35.1,35.52
27,2020/03/20,英鎊 (GBP),34.53,36.65,35.53,35.95
28,2020/03/19,英鎊 (GBP),33.79,35.91,34.79,35.21
29,2020/03/18,英鎊 (GBP),35.19,37.31,36.19,36.61
30,2020/03/17,英鎊 (GBP),35.64,37.76,36.64,37.06
31,2020/03/16,英鎊 (GBP),35.92,38.04,36.92,37.34
32,2020/03/13,英鎊 (GBP),36.71,38.83,37.71,38.13
33,2020/03/12,英鎊 (GBP),37.35,39.47,38.35,38.77
34,2020/03/11,英鎊 (GBP),37.59,39.71,38.59,39.01
35,2020/03/10,英鎊 (GBP),38.01,40.13,39.01,39.43
36,2020/03/09,英鎊 (GBP),38.47,40.59,39.47,39.89
37,2020/03/06,英鎊 (GBP),37.7,39.82,38.7,39.12
38,2020/03/05,英鎊 (GBP),37.32,39.44,38.32,38.74
39,2020/03/04,英鎊 (GBP),37.18,39.3,38.18,38.6
40,2020/03/03,英鎊 (GBP),37.25,39.37,38.25,38.67
41,2020/03/02,英鎊 (GBP),37.33,39.45,38.33,38.75
42,2020/02/27,英鎊 (GBP),37.89,40.01,38.89,39.31
43,2020/02/26,英鎊 (GBP),38.22,40.34,39.22,39.64
44,2020/02/25,英鎊 (GBP),38.12,40.24,39.12,39.54
45,2020/02/24,英鎊 (GBP),38.19,40.31,39.19,39.61
46,2020/02/21,英鎊 (GBP),37.98,40.1,38.98,39.4
47,2020/02/20,英鎊 (GBP),37.8,39.92,38.8,39.22
48,2020/02/19,英鎊 (GBP),37.95,40.07,38.95,39.37
49,2020/02/18,英鎊 (GBP),37.93,40.05,38.93,39.35
50,2020/02/17,英鎊 (GBP),37.91,40.03,38.91,39.33
51,2020/02/15,英鎊 (GBP),37.95,40.07,38.95,39.37
52,2020/02/14,英鎊 (GBP),37.98,40.1,38.98,39.4
53,2020/02/13,英鎊 (GBP),37.7,39.82,38.7,39.12
54,2020/02/12,英鎊 (GBP),37.69,39.81,38.69,39.11
55,2020/02/11,英鎊 (GBP),37.56,39.68,38.56,38.98
56,2020/02/10,英鎊 (GBP),37.49,39.61,38.49,38.91
57,2020/02/07,英鎊 (GBP),37.75,39.87,38.75,39.17
58,2020/02/06,英鎊 (GBP),37.8,39.92,38.8,39.22
59,2020/02/05,英鎊 (GBP),38.03,40.15,39.03,39.45
60,2020/02/04,英鎊 (GBP),37.84,39.96,38.84,39.26
61,2020/02/03,英鎊 (GBP),38.58,40.7,39.58,40.0
