,掛牌日期,幣別,現金買入,現金買入,即期買入,即期賣出
0,2020/04/30,港幣 (HKD),3.68,3.884,3.806,3.866
1,2020/04/29,港幣 (HKD),3.7030000000000003,3.907,3.8289999999999997,3.889
2,2020/04/28,港幣 (HKD),3.7119999999999997,3.9160000000000004,3.838,3.898
3,2020/04/27,港幣 (HKD),3.716,3.92,3.842,3.9019999999999997
4,2020/04/24,港幣 (HKD),3.719,3.923,3.845,3.905
5,2020/04/23,港幣 (HKD),3.7230000000000003,3.927,3.8489999999999998,3.909
6,2020/04/22,港幣 (HKD),3.722,3.926,3.8480000000000003,3.908
7,2020/04/21,港幣 (HKD),3.722,3.926,3.8480000000000003,3.908
8,2020/04/20,港幣 (HKD),3.719,3.923,3.845,3.905
9,2020/04/17,港幣 (HKD),3.722,3.926,3.8480000000000003,3.908
10,2020/04/16,港幣 (HKD),3.7230000000000003,3.927,3.8489999999999998,3.909
11,2020/04/15,港幣 (HKD),3.717,3.9210000000000003,3.843,3.903
12,2020/04/14,港幣 (HKD),3.718,3.9219999999999997,3.844,3.904
13,2020/04/13,港幣 (HKD),3.7230000000000003,3.927,3.8489999999999998,3.909
14,2020/04/10,港幣 (HKD),3.721,3.925,3.847,3.907
15,2020/04/09,港幣 (HKD),3.7239999999999998,3.928,3.85,3.91
16,2020/04/08,港幣 (HKD),3.728,3.932,3.8539999999999996,3.9139999999999997
17,2020/04/07,港幣 (HKD),3.725,3.929,3.8510000000000004,3.911
18,2020/04/06,港幣 (HKD),3.736,3.94,3.862,3.9219999999999997
19,2020/04/01,港幣 (HKD),3.747,3.951,3.873,3.9330000000000003
20,2020/03/31,港幣 (HKD),3.742,3.946,3.8680000000000003,3.928
21,2020/03/30,港幣 (HKD),3.739,3.943,3.865,3.925
22,2020/03/27,港幣 (HKD),3.741,3.945,3.867,3.927
23,2020/03/26,港幣 (HKD),3.7460000000000004,3.95,3.872,3.932
24,2020/03/25,港幣 (HKD),3.7510000000000003,3.955,3.877,3.937
25,2020/03/24,港幣 (HKD),3.75,3.9539999999999997,3.8760000000000003,3.9360000000000004
26,2020/03/23,港幣 (HKD),3.7569999999999997,3.9610000000000003,3.883,3.943
27,2020/03/20,港幣 (HKD),3.74,3.944,3.866,3.926
28,2020/03/19,港幣 (HKD),3.763,3.967,3.889,3.949
29,2020/03/18,港幣 (HKD),3.739,3.943,3.865,3.925
30,2020/03/17,港幣 (HKD),3.7319999999999998,3.9360000000000004,3.858,3.918
31,2020/03/16,港幣 (HKD),3.728,3.932,3.8539999999999996,3.9139999999999997
32,2020/03/13,港幣 (HKD),3.7239999999999998,3.928,3.85,3.91
33,2020/03/12,港幣 (HKD),3.714,3.918,3.84,3.9
34,2020/03/11,港幣 (HKD),3.714,3.918,3.84,3.9
35,2020/03/10,港幣 (HKD),3.7030000000000003,3.907,3.8289999999999997,3.889
36,2020/03/09,港幣 (HKD),3.716,3.92,3.842,3.9019999999999997
37,2020/03/06,港幣 (HKD),3.701,3.905,3.827,3.887
38,2020/03/05,港幣 (HKD),3.694,3.898,3.82,3.88
39,2020/03/04,港幣 (HKD),3.705,3.909,3.8310000000000004,3.891
40,2020/03/03,港幣 (HKD),3.7030000000000003,3.907,3.8289999999999997,3.889
41,2020/03/02,港幣 (HKD),3.7119999999999997,3.9160000000000004,3.838,3.898
42,2020/02/27,港幣 (HKD),3.7230000000000003,3.927,3.8489999999999998,3.909
43,2020/02/26,港幣 (HKD),3.74,3.944,3.866,3.926
44,2020/02/25,港幣 (HKD),3.739,3.943,3.865,3.925
45,2020/02/24,港幣 (HKD),3.7489999999999997,3.9530000000000003,3.875,3.935
46,2020/02/21,港幣 (HKD),3.745,3.949,3.8710000000000004,3.931
47,2020/02/20,港幣 (HKD),3.7319999999999998,3.9360000000000004,3.858,3.918
48,2020/02/19,港幣 (HKD),3.718,3.9219999999999997,3.844,3.904
49,2020/02/18,港幣 (HKD),3.718,3.9219999999999997,3.844,3.904
50,2020/02/17,港幣 (HKD),3.7060000000000004,3.91,3.832,3.892
51,2020/02/15,港幣 (HKD),3.705,3.909,3.8310000000000004,3.891
52,2020/02/14,港幣 (HKD),3.707,3.911,3.833,3.8930000000000002
53,2020/02/13,港幣 (HKD),3.702,3.906,3.8280000000000003,3.888
54,2020/02/12,港幣 (HKD),3.705,3.909,3.8310000000000004,3.891
55,2020/02/11,港幣 (HKD),3.7119999999999997,3.9160000000000004,3.838,3.898
56,2020/02/10,港幣 (HKD),3.713,3.917,3.839,3.8989999999999996
57,2020/02/07,港幣 (HKD),3.722,3.926,3.8480000000000003,3.908
58,2020/02/06,港幣 (HKD),3.7119999999999997,3.9160000000000004,3.838,3.898
59,2020/02/05,港幣 (HKD),3.719,3.923,3.845,3.905
60,2020/02/04,港幣 (HKD),3.7230000000000003,3.927,3.8489999999999998,3.909
61,2020/02/03,港幣 (HKD),3.739,3.943,3.865,3.925
