,掛牌日期,幣別,現金買入,現金買入,即期買入,即期賣出
0,2020/04/30,韓元 (KRW),0.02292,0.02682,-,-
1,2020/04/29,韓元 (KRW),0.02284,0.026739999999999996,-,-
2,2020/04/28,韓元 (KRW),0.02278,0.026680000000000002,-,-
3,2020/04/27,韓元 (KRW),0.02273,0.02663,-,-
4,2020/04/24,韓元 (KRW),0.022619999999999998,0.02652,-,-
5,2020/04/23,韓元 (KRW),0.02271,0.02661,-,-
6,2020/04/22,韓元 (KRW),0.02264,0.026539999999999998,-,-
7,2020/04/21,韓元 (KRW),0.02267,0.02657,-,-
8,2020/04/20,韓元 (KRW),0.02288,0.02678,-,-
9,2020/04/17,韓元 (KRW),0.022959999999999998,0.026860000000000002,-,-
10,2020/04/16,韓元 (KRW),0.02279,0.02669,-,-
11,2020/04/15,韓元 (KRW),0.02291,0.026810000000000004,-,-
12,2020/04/14,韓元 (KRW),0.02298,0.02688,-,-
13,2020/04/13,韓元 (KRW),0.02299,0.026889999999999997,-,-
14,2020/04/10,韓元 (KRW),0.02311,0.027010000000000003,-,-
15,2020/04/09,韓元 (KRW),0.022969999999999997,0.026869999999999998,-,-
16,2020/04/08,韓元 (KRW),0.02295,0.02685,-,-
17,2020/04/07,韓元 (KRW),0.02305,0.02695,-,-
18,2020/04/06,韓元 (KRW),0.02285,0.02675,-,-
19,2020/04/01,韓元 (KRW),0.02284,0.026739999999999996,-,-
20,2020/03/31,韓元 (KRW),0.02305,0.02695,-,-
21,2020/03/30,韓元 (KRW),0.022959999999999998,0.026860000000000002,-,-
22,2020/03/27,韓元 (KRW),0.02308,0.02698,-,-
23,2020/03/26,韓元 (KRW),0.02286,0.026760000000000003,-,-
24,2020/03/25,韓元 (KRW),0.02285,0.02675,-,-
25,2020/03/24,韓元 (KRW),0.02254,0.026439999999999998,-,-
26,2020/03/23,韓元 (KRW),0.02225,0.02615,-,-
27,2020/03/20,韓元 (KRW),0.02267,0.02657,-,-
28,2020/03/19,韓元 (KRW),0.02214,0.026039999999999997,-,-
29,2020/03/18,韓元 (KRW),0.02244,0.02634,-,-
30,2020/03/17,韓元 (KRW),0.022580000000000003,0.02648,-,-
31,2020/03/16,韓元 (KRW),0.022869999999999998,0.02677,-,-
32,2020/03/13,韓元 (KRW),0.023030000000000002,0.026930000000000003,-,-
33,2020/03/12,韓元 (KRW),0.02324,0.027139999999999997,-,-
34,2020/03/11,韓元 (KRW),0.02344,0.027339999999999996,-,-
35,2020/03/10,韓元 (KRW),0.02339,0.02729,-,-
36,2020/03/09,韓元 (KRW),0.02329,0.02719,-,-
37,2020/03/06,韓元 (KRW),0.023469999999999998,0.02737,-,-
38,2020/03/05,韓元 (KRW),0.02356,0.027460000000000002,-,-
39,2020/03/04,韓元 (KRW),0.02359,0.027489999999999997,-,-
40,2020/03/03,韓元 (KRW),0.02343,0.02733,-,-
41,2020/03/02,韓元 (KRW),0.023530000000000002,0.02743,-,-
42,2020/02/27,韓元 (KRW),0.023180000000000003,0.02708,-,-
43,2020/02/26,韓元 (KRW),0.023209999999999998,0.027110000000000002,-,-
44,2020/02/25,韓元 (KRW),0.02332,0.027219999999999998,-,-
45,2020/02/24,韓元 (KRW),0.02323,0.02713,-,-
46,2020/02/21,韓元 (KRW),0.02334,0.027239999999999997,-,-
47,2020/02/20,韓元 (KRW),0.02348,0.02738,-,-
48,2020/02/19,韓元 (KRW),0.02359,0.027489999999999997,-,-
49,2020/02/18,韓元 (KRW),0.023540000000000002,0.02744,-,-
50,2020/02/17,韓元 (KRW),0.02362,0.02752,-,-
51,2020/02/15,韓元 (KRW),0.02361,0.027510000000000003,-,-
52,2020/02/14,韓元 (KRW),0.02364,0.02754,-,-
53,2020/02/13,韓元 (KRW),0.02363,0.027530000000000002,-,-
54,2020/02/12,韓元 (KRW),0.02369,0.027589999999999996,-,-
55,2020/02/11,韓元 (KRW),0.02366,0.02756,-,-
56,2020/02/10,韓元 (KRW),0.02356,0.027460000000000002,-,-
57,2020/02/07,韓元 (KRW),0.02361,0.027510000000000003,-,-
58,2020/02/06,韓元 (KRW),0.02366,0.02756,-,-
59,2020/02/05,韓元 (KRW),0.023540000000000002,0.02744,-,-
60,2020/02/04,韓元 (KRW),0.02363,0.027530000000000002,-,-
61,2020/02/03,韓元 (KRW),0.02361,0.027510000000000003,-,-
